0|CONSUMER GOODS|Apparel, Accessories & Footwear
1|CONSUMER GOODS|Appliance Manufacturing
2|CONSUMER GOODS|Building Products & Furnishings
3|CONSUMER GOODS|E-Commerce
4|CONSUMER GOODS|Household & Personal Products
5|CONSUMER GOODS|Multiline and Specialty Retailers & Distributors|
6|CONSUMER GOODS|Toys & Sporting Goods
10|EXTRACTIVES & MINERALS PROCESSING|Coal Operations
11|EXTRACTIVES & MINERALS PROCESSING|Construction Materials
12|EXTRACTIVES & MINERALS PROCESSING|Iron & Steel Producers
13|EXTRACTIVES & MINERALS PROCESSING|Metals & Mining
14|EXTRACTIVES & MINERALS PROCESSING|Oil & Gas - Exploration & Production
15|EXTRACTIVES & MINERALS PROCESSING|Oil & Gas - Midstream
16|EXTRACTIVES & MINERALS PROCESSING|Oil & Gas - Refining & Marketing
17|EXTRACTIVES & MINERALS PROCESSING|Oil & Gas - Services
20|FINANCIALS|Asset Management & Custody Activities
21|FINANCIALS|Commercial Banks
22|FINANCIALS|Consumer Finance
23|FINANCIALS|Insurance
24|FINANCIALS|Investment Banking & Brokerage
25|FINANCIALS|Mortgage Finance
26|FINANCIALS|Security & Commodity Exchanges
30|FOOD & BEVERAGE|Agricultural Products
31|FOOD & BEVERAGE|Alcoholic Beverages
32|FOOD & BEVERAGE|Food Retailers & Distributors
33|FOOD & BEVERAGE|Meat, Poultry & Dairy
34|FOOD & BEVERAGE|Non-Alcoholic Beverages
35|FOOD & BEVERAGE|Processed Foods
36|FOOD & BEVERAGE|Restaurants
37|FOOD & BEVERAGE|Tobacco
40|HEALTH CARE|Biotechnology & Pharmaceuticals
41|HEALTH CARE|Drug Retailers
42|HEALTH CARE|Health Care Delivery
43|HEALTH CARE|Health Care Distributors
44|HEALTH CARE|Managed Care
45|HEALTH CARE|Medical Equipment & Supplies
50|INFRASTRUCTURE|Electric Utilities & Power Generators
51|INFRASTRUCTURE|Engineering & Construction Services
52|INFRASTRUCTURE|Gas Utilities & Distributors
53|INFRASTRUCTURE|Home Builders
54|INFRASTRUCTURE|Real Estate
55|INFRASTRUCTURE|Real Estate Services
56|INFRASTRUCTURE|Waste Management
57|INFRASTRUCTURE|Water Utilities & Services
60|RENEWABLE RESOURCES & ALTERNATIVE ENERGY|Biofuels
61|RENEWABLE RESOURCES & ALTERNATIVE ENERGY|Forestry Management
62|RENEWABLE RESOURCES & ALTERNATIVE ENERGY|Fuel Cells & Industrial Batteries
63|RENEWABLE RESOURCES & ALTERNATIVE ENERGY|Pulp & Paper Products
64|RENEWABLE RESOURCES & ALTERNATIVE ENERGY|Solar Technology & Project Developers
65|RENEWABLE RESOURCES & ALTERNATIVE ENERGY|Wind Technology & Project Developers
70|RESOURCE TRANSFORMATION|Aerospace & Defense
71|RESOURCE TRANSFORMATION|Chemicals
72|RESOURCE TRANSFORMATION|Containers & Packaging
73|RESOURCE TRANSFORMATION|Electrical & Electronic Equipment
74|RESOURCE TRANSFORMATION|Industrial Machinery & Goods
80|SERVICES|Advertising & Marketing
81|SERVICES|Casinos & Gaming
82|SERVICES|Education
83|SERVICES|Hotels & Lodging
84|SERVICES|Leisure Facilities
85|SERVICES|Media & Entertainment
86|SERVICES|Professional & Commercial Services
90|TECHNOLOGY & COMMUNICATIONS|
91|TECHNOLOGY & COMMUNICATIONS|Electronic Manufacturing Services & Original Design Manufacturing
92|TECHNOLOGY & COMMUNICATIONS|Hardware
93|TECHNOLOGY & COMMUNICATIONS|Internet Media & Services
94|TECHNOLOGY & COMMUNICATIONS|Semiconductors
95|TECHNOLOGY & COMMUNICATIONS|Software & IT Services
96|TECHNOLOGY & COMMUNICATIONS|Telecommunication Services
100|TRANSPORTATION|
101|TRANSPORTATION|Air Freight & Logistics
102|TRANSPORTATION|Airlines
103|TRANSPORTATION|Auto Parts
104|TRANSPORTATION|Automobiles
105|TRANSPORTATION|Car Rental & Leasing
106|TRANSPORTATION|Cruise Lines
107|TRANSPORTATION|Marine Transportation
108|TRANSPORTATION|Rail Transportation
109|TRANSPORTATION|Road Transportation